original_features_features
0.58173716
0.63749206
0.5704757
0.5522788
0.53690135
0.50239587
0.46328288
0.43554282
0.4025822
0.36554673
0.34871617
0.34509656
0.31506604
0.23257214
0.12628347
0.19528317
0.57078016
0.81412715
1.111672
1.1980418
1.2085365
1.3327463
1.4373276
1.192702
0.9431563
0.91157854
0.97480565
0.9409357
0.99153554
1.1911615
1.211804
1.0597248
0.959001
0.9421027
0.9550901
1.0383848
1.1902082
0.6504174
0.4551986
0.33005247
0.20852965
0.17359963
0.2377621
0.27882433
0.3304965
0.36834085
0.3866048
0.4159794
0.46099883
0.5001385
0.53447545
0.5554512
0.593032
0.60055876
0.7179496
0.8088167
0.1717748
0.3972003
0.30934244
0.30851063
0.30521968
0.29196632
0.27592057
0.28385276
0.30693942
0.29488093
0.28993967
0.34587517
0.33726838
0.24270824
0.17134717
0.08052534
0.36699226
0.7322409
1.0256085
0.9397856
1.0422186
1.2656113
1.0502576
0.7258291
0.41509193
0.46519423
0.54655695
0.47090483
0.41056982
0.5124584
0.548157
0.4235978
0.2986992
0.2567913
0.1985985
0.2257955
0.39279765
0.46974307
0.50198483
0.46000773
0.32009494
0.25194427
0.33656818
0.34249324
0.3128708
0.2992553
0.28210413
0.27621633
0.31513762
0.35031623
0.3596152
0.36416754
0.37178755
0.31581798
0.46761245
0.41837984
0.03578773
0.27163178
0.22552672
0.20923454
0.17815745
0.17067498
0.17341936
0.16952178
0.17100236
0.17636877
0.20255122
0.24534029
0.2806301
0.24529499
0.21560168
0.19651377
0.30167094
0.5219154
0.9804263
0.9125151
0.864936
1.0734864
1.0385319
0.7497348
0.5154789
0.7040193
0.8237642
0.6632466
0.3581828
0.3003
0.36968458
0.3055125
0.1749301
0.12741566
0.115683675
0.12870312
0.13741386
0.1780988
0.27222264
0.3314501
0.23912919
0.18291205
0.21566173
0.2152833
0.20246652
0.21377587
0.19964841
0.18622226
0.20965949
0.2234891
0.23772556
0.22496372
0.21266448
0.21568993
0.40440965
0.40829498
0.009724736
0.2693973
0.19819686
0.16534132
0.14917836
0.13992083
0.14793521
